movieId,title,genres,times_rated,mean_rating,title_words
1,Toy Story (1995),Adventure Animation Children Comedy Fantasy,215,3.9209302325581397,Toy Story
2,Jumanji (1995),Adventure Children Fantasy,110,3.4318181818181817,Jumanji
3,Grumpier Old Men (1995),Comedy Romance,52,3.2596153846153846,Grumpier Old Men
4,Waiting to Exhale (1995),Comedy Drama Romance,7,2.357142857142857,Waiting to Exhale
5,Father of the Bride Part II (1995),Comedy,49,3.0714285714285716,Father of the Bride Part II
6,Heat (1995),Action Crime Thriller,102,3.946078431372549,Heat
7,Sabrina (1995),Comedy Romance,54,3.185185185185185,Sabrina
8,Tom and Huck (1995),Adventure Children,8,2.875,Tom and Huck
9,Sudden Death (1995),Action,16,3.125,Sudden Death
10,GoldenEye (1995),Action Adventure Thriller,132,3.496212121212121,GoldenEye
11,"American President, The (1995)",Comedy Drama Romance,70,3.6714285714285713,"American President, The"
12,Dracula: Dead and Loving It (1995),Comedy Horror,19,2.4210526315789473,Dracula: Dead and Loving It
13,Balto (1995),Adventure Animation Children,8,3.125,Balto
14,Nixon (1995),Drama,18,3.8333333333333335,Nixon
15,Cutthroat Island (1995),Action Adventure Romance,13,3.0,Cutthroat Island
16,Casino (1995),Crime Drama,82,3.926829268292683,Casino
17,Sense and Sensibility (1995),Drama Romance,67,3.7761194029850746,Sense and Sensibility
18,Four Rooms (1995),Comedy,20,3.7,Four Rooms
19,Ace Ventura: When Nature Calls (1995),Comedy,88,2.727272727272727,Ace Ventura: When Nature Calls
20,Money Train (1995),Action Comedy Crime Drama Thriller,15,2.5,Money Train
21,Get Shorty (1995),Comedy Crime Thriller,89,3.49438202247191,Get Shorty
22,Copycat (1995),Crime Drama Horror Mystery Thriller,36,3.2222222222222223,Copycat
23,Assassins (1995),Action Crime Thriller,16,3.125,Assassins
24,Powder (1995),Drama Sci-Fi,28,3.125,Powder
25,Leaving Las Vegas (1995),Drama Romance,76,3.625,Leaving Las Vegas
26,Othello (1995),Drama,13,3.5,Othello
27,Now and Then (1995),Children Drama,9,3.3333333333333335,Now and Then
28,Persuasion (1995),Drama Romance,11,4.2272727272727275,Persuasion
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure Drama Fantasy Mystery Sci-Fi,38,4.0131578947368425,"City of Lost Children, The (Cité des enfants perdus, La)"
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime Drama,3,3.0,Shanghai Triad (Yao a yao yao dao waipo qiao)
31,Dangerous Minds (1995),Drama,38,3.1842105263157894,Dangerous Minds
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery Sci-Fi Thriller,177,3.983050847457627,Twelve Monkeys (a.k.a. 12 Monkeys)
34,Babe (1995),Children Drama,128,3.65234375,Babe
36,Dead Man Walking (1995),Crime Drama,67,3.8358208955223883,Dead Man Walking
38,It Takes Two (1995),Children Comedy,4,2.125,It Takes Two
39,Clueless (1995),Comedy Romance,104,3.293269230769231,Clueless
40,"Cry, the Beloved Country (1995)",Drama,2,4.25,"Cry, the Beloved Country"
41,Richard III (1995),Drama War,15,3.7,Richard III
42,Dead Presidents (1995),Action Crime Drama,7,3.0,Dead Presidents
43,Restoration (1995),Drama,8,3.1875,Restoration
44,Mortal Kombat (1995),Action Adventure Fantasy,46,2.5434782608695654,Mortal Kombat
45,To Die For (1995),Comedy Drama Thriller,32,3.3125,To Die For
46,How to Make an American Quilt (1995),Drama Romance,15,3.066666666666667,How to Make an American Quilt
47,Seven (a.k.a. Se7en) (1995),Mystery Thriller,203,3.9753694581280787,Seven (a.k.a. Se7en)
48,Pocahontas (1995),Animation Children Drama Musical Romance,68,3.1470588235294117,Pocahontas
49,When Night Is Falling (1995),Drama Romance,1,3.0,When Night Is Falling
50,"Usual Suspects, The (1995)",Crime Mystery Thriller,204,4.237745098039215,"Usual Suspects, The"
52,Mighty Aphrodite (1995),Comedy Drama Romance,28,3.4642857142857144,Mighty Aphrodite
53,Lamerica (1994),Adventure Drama,2,5.0,Lamerica
54,"Big Green, The (1995)",Children Comedy,3,2.3333333333333335,"Big Green, The"
55,Georgia (1995),Drama,1,4.0,Georgia
57,Home for the Holidays (1995),Drama,8,3.0625,Home for the Holidays
58,"Postman, The (Postino, Il) (1994)",Comedy Drama Romance,37,4.027027027027027,"Postman, The (Postino, Il)"
60,"Indian in the Cupboard, The (1995)",Adventure Children Fantasy,34,3.235294117647059,"Indian in the Cupboard, The"
61,Eye for an Eye (1996),Drama Thriller,6,3.75,Eye for an Eye
62,Mr. Holland's Opus (1995),Drama,80,3.70625,Mr. Holland's Opus
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy Crime,7,2.7142857142857144,Don't Be a Menace to South Central While Drinking Your Juice in the Hood
64,Two if by Sea (1996),Comedy Romance,5,2.2,Two if by Sea
65,Bio-Dome (1996),Comedy,31,2.532258064516129,Bio-Dome
